docId,subject,year,status,croppedImagePath,sourceFile,notes
BIO-2019-T001,Biology,2019,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- question asks student to draw/graph their own diagram, no supplied figure exists"
BIO-2019-T004,Biology,2019,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- question asks student to draw/graph their own diagram, no supplied figure exists"
BIO-2019-T006,Biology,2019,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- question asks student to draw/graph their own diagram, no supplied figure exists"
BIO-2019-T010,Biology,2019,DELETED,,,"Confirmed duplicate/orphan, deleted from Firestore 2026-07-31"
BIO-2019-T010C,Biology,2019,DELETED,,,"Confirmed duplicate/orphan, deleted from Firestore 2026-07-31"
BIO-2020-T002,Biology,2020,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- question asks student to draw/graph their own diagram, no supplied figure exists"
BIO-2022-T004,Biology,2022,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- verified against 2022 Biology - MCQ & Essay.pdf page 14: table is printed with headers only (Nutritional Type/Energy/Electron/Carbon), student fills it in ('Copy and complete the table below'). No supplied data to source."
BIO-2022-T007,Biology,2022,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- verified against 2022 Biology - MCQ & Essay.pdf page 15: table is printed with headers only (Groups/Free living examples/Parasitic forms examples), student fills it in ('Complete the table below'). No supplied data to source."
BIO-2024-T004,Biology,2024,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- verified against BIOLOGY 2024 MCQ & ESSAY_QUESTION.pdf page 12: table is printed with headers only (Gram Positive/Gram Negative characteristics), student fills it in ('Fill in the missing spaces'). No supplied data to source."
BIO-2024-T005,Biology,2024,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- question asks student to draw/graph their own diagram, no supplied figure exists"
BIO-2024-T008,Biology,2024,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- question asks student to draw/graph their own diagram, no supplied figure exists"
BIO-2025-T002,Biology,2025,CROPPED,~/crediq/diagram-crops/BIO-2025-T002.jpg,,"Breathing rate table (Bending sideways/Walking/Jogging/Running x 3 trials + average) for part 2(c), from the actual 2025 Biology essay paper (BIOLOGY_2025_EXAM_MCQ_AND_ESSAY_QUESTION.pdf) page 15 -- source PDF supplied 2026-08-01, resolving prior blocker."
BUS-2022-T005,Business Studies,2022,CROPPED,~/crediq/diagram-crops/BUS-2022-T005.jpg,,"Daropale Ltd financial data table (opening/closing stock, sales, expenses, purchases) for part (c), from 2022 Business Studies.pdf page 14."
BUS-2025-T008,Business Studies,2025,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- question asks student to draw/graph their own diagram, no supplied figure exists"
CHE-2019-T007,Chemistry,2019,CROPPED,~/crediq/diagram-crops/CHE-2019-T007_1.jpg;~/crediq/diagram-crops/CHE-2019-T007_2.jpg,,"TWO diagrams needed: (1) hybridization structure for part a(ii), (2) propanone reaction scheme for part b. Needs the diagramUrls array pattern, not singular diagramUrl. From CHEMISTRY 2019.pdf page 13."
CHE-2020-T001,Chemistry,2020,CROPPED,~/crediq/diagram-crops/CHE-2020-T001.jpg,,"Phase diagram for one-component system Z, from CHEMISTRY MCQ & Essay 2020 (1).pdf page 12"
CHE-2020-T003,Chemistry,2020,CROPPED,~/crediq/diagram-crops/CHE-2020-T003_1_bondtable.jpg;~/crediq/diagram-crops/CHE-2020-T003_2_decay.jpg,,"TWO images needed: (1) bond enthalpy data table for part b, (2) U-238 decay series notation for part c. Needs diagramUrls array. From CHEMISTRY MCQ & Essay 2020 (1).pdf page 13"
CHE-2020-T007,Chemistry,2020,CROPPED,~/crediq/diagram-crops/CHE-2020-T007.jpg,,"Glycine and alanine structural formulas for part (c), from CHEMISTRY MCQ & Essay 2020 (1).pdf page 15."
CHE-2020-T008,Chemistry,2020,CROPPED,~/crediq/diagram-crops/CHE-2020-T008.jpg,,"Methylbenzene + chlorine reaction scheme (products A and B) for part (b), from CHEMISTRY MCQ & Essay 2020 (1).pdf page 16."
CHE-2021-T004,Chemistry,2021,CROPPED,~/crediq/diagram-crops/CHE-2021-T004.jpg,,"Standard electrode potential table (Half-equation/E deg V) for part (c), from 2021 Chemistry - MCQ & Essay.pdf page 12."
CHE-2022-T008,Chemistry,2022,CROPPED,~/crediq/diagram-crops/CHE-2022-T008.jpg,,"Toluene reaction scheme (reactions I-IV giving products V,W,X,Y,Z), from 2022 Chemistry - MCQ & Essay.pdf page 16"
CHE-2024-T005,Chemistry,2024,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- verified against CHEMISTRY 2024 MCQ & ESSAY_QUESTIONS.pdf page 16: question 5 (electronegativity/ionisation trends, alkali metal properties, calcium reactions, complex ion oxidation state) is pure text throughout, no chart/structure/table referenced anywhere. Appears to have been mis-flagged originally."
CHE-2025-T005,Chemistry,2025,CROPPED,~/crediq/diagram-crops/CHE-2025-T005.jpg,,"Melting point table for Group IV oxides (CO2/SiO2/SnO2) for part (c), from CHEMISTRY 2025 EXAM_MCQ AND ESSAY_QUESTION.pdf page 14."
CHE-2025-T007,Chemistry,2025,CROPPED,~/crediq/diagram-crops/CHE-2025-T007.jpg,,"Crude petroleum fractions table (temp of separation / C atoms / fraction / use, partially blank for student to complete) for part (b), from CHEMISTRY 2025 EXAM_MCQ AND ESSAY_QUESTION.pdf page 16."
ECO-2019-T004,Economics,2019,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- verified against ECONOMICS 2019 (2).pdf page 10: no diagram printed, question only says 'with the aid of a well labelled diagram, explain...' (student draws own)."
ECO-2019-T007,Economics,2019,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- verified against ECONOMICS 2019 (2).pdf page 11: no diagram printed, 'Using a diagram, explain...' (student draws own)."
ECO-2019-T008,Economics,2019,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- verified against ECONOMICS 2019 (2).pdf page 11: text-only Nigeria Economic Outlook passage + questions, no diagram/chart printed anywhere on the page."
ECO-2020-T007,Economics,2020,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- verified against 2020 Economics.pdf page 13: no diagram printed, 'With the aid of an appropriate diagram, describe...' (student draws own)."
GEO-2021-T005,Geography,2021,CROPPED,~/crediq/diagram-crops/GEO-2021-T005.jpg,,"Topographical map (Aro's House/Market/Bridge/contours, scale 1:150,000) for GRY 003 part 5. Found embedded as an image object on 2021 Geography.pdf page 13, positioned ABOVE the Q6 text that had been extracted as page 13's start -- a page-level text search missed it because it's an image, not text. Not actually a separate insert; resolved 2026-08-01."
GEO-2024-T001,Geography,2024,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- question asks student to draw/graph their own diagram, no supplied figure exists"
GEO-2025-T001,Geography,2025,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- question asks student to draw/graph their own diagram, no supplied figure exists"
MAT-2019-T007,Mathematics,2019,CROPPED,~/crediq/diagram-crops/MAT-2019-T007_1_formula.jpg;~/crediq/diagram-crops/MAT-2019-T007_2_table.jpg,,"TWO images: (1) probability function formula, (2) die-roll frequency table. Needs diagramUrls array. From MATHEMATICS 2019.pdf page 13. Note: table was actually mostly OCR-legible on this scan (outcomes 1-6, frequencies 7/?/8/15/1?/7) despite Firestore text saying NOT LEGIBLE -- might be worth a second look for the text-repair project too, one frequency value still unclear"
MAT-2019-T008,Mathematics,2019,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- verified against MATHEMATICS 2019.pdf page 13: question 8 (type I/II errors, hypothesis testing word problems) is pure text; the die-roll frequency table on that page belongs to question 7, not 8."
MAT-2020-T002,Mathematics,2020,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- question asks student to draw/graph their own diagram, no supplied figure exists"
MAT-2020-T008,Mathematics,2020,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- verified against MATHEMATICS MCQ & ESSAY 2020.pdf pages 17-18: question 8 is pure text word problems; page 18 is the generic Student's-t/Chi-square reference table shared across all statistics questions in the exam, not specific to this question."
MAT-2021-T007,Mathematics,2021,CROPPED,~/crediq/diagram-crops/MAT-2021-T007.jpg,,"PDF table (x / P(X=x)) for part (c), from 2021 Mathematics (1).pdf page 15."
MAT-2021-T008,Mathematics,2021,CROPPED,~/crediq/diagram-crops/MAT-2021-T008.jpg,,"Heights distribution table (part a) + X/Y correlation table (part b), combined in one image, from 2021 Mathematics (1).pdf page 15."
MAT-2022-T005,Mathematics,2022,CROPPED,~/crediq/diagram-crops/MAT-2022-T005.jpg,,"Age of voters / Party A / Party B contingency table for part (c), from 2022 Mathematics.pdf page 14."
MAT-2024-T001,Mathematics,2024,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- verified against Mathematics 2024 MCQ & ESSAY_QUESTION.pdf page 16: 'Draw the Venn diagram for the information' (student draws own from given percentages, no diagram printed)."
MAT-2024-T010,Mathematics,2024,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- question asks student to draw/graph their own diagram, no supplied figure exists"
MFB-2025-T005,Mathematics for Business,2025,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- question asks student to draw/graph their own diagram, no supplied figure exists (also: identical MAT 003 Statistics question legitimately shared with MFS-2025-T005, not a corruption dup)"
MFS-2025-T005,Mathematics for Science,2025,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- question asks student to draw/graph their own diagram, no supplied figure exists (also: identical MAT 003 Statistics question legitimately shared with MFB-2025-T005, not a corruption dup)"
MUS-2025-T005,Music,2025,CROPPED,~/crediq/diagram-crops/MUS-2025-T005.jpg,,"Musical phrase for solfa transcription, from MUSIC 2025 EXAM_MCQ AND ESSAY QUESTION.pdf page 14"
MUS-2025-T006,Music,2025,CROPPED,~/crediq/diagram-crops/MUS-2025-T006.jpg,,"Intervals staff notation, from MUSIC 2025 EXAM_MCQ AND ESSAY QUESTION.pdf page 14"
PHY-2019-T004,Physics,2019,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- question asks student to draw/graph their own diagram, no supplied figure exists"
PHY-2019-T004B,Physics,2019,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- verified against PHYSICS 2019.pdf page 12: part (b) says 'Draw the circuit diagrams of the two arrangements' (student draws own from described resistor values); part (c) transmission-line question is a formula only, no diagram printed."
PHY-2019-T006,Physics,2019,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- question asks student to draw/graph their own diagram, no supplied figure exists"
PHY-2020-T001,Physics,2020,CROPPED,~/crediq/diagram-crops/PHY-2020-T001.jpg,,"Figure 1 (force vs extension graph), from PHYSICS MCQ & ESSAY 2020.pdf page 14"
PHY-2025-T005,Physics,2025,NOT_NEEDED,,,"has_diagram set to false 2026-07-31 -- question asks student to draw/graph their own diagram, no supplied figure exists"
