type,collection,docId,subject,topic,question,currentCorrect,currentCorrectText,suggestedCorrect,suggestedCorrectText,confidenceOrMethod,evidence,approved
semantic,questions,ACC-2024-040,Accounting,Auditing,An audit in which assets and liabilities are traced from the financial statement to the underlying r,A,vouching,C,tracing,100%,"Verification is the process of substantiating the existence, ownership, and valuation of assets and liabilities by tracing them from the financial statements to",
semantic,questions,AGR-2019-008,Agricultural Science,Soil Science,__ soils have a higher bulk density than clayey soils and less pore space.,C,Loamy,A,Sandy,100%,"Sandy soils have larger particles and larger pore spaces but lower total porosity compared to clay, resulting in a higher bulk density.",yes
semantic,questions,AGR-2019-010,Agricultural Science,Agricultural Practices,The artificial supply of water to farm lands for crop production is called,A,rainfall,C,irrigation,100%,Irrigation is the artificial application of water to land or soil to assist in the production of agricultural crops.,yes
semantic,questions,AGR-2019-012,Agricultural Science,Agricultural Biology,The organism which depends on another organism for food and causes harm to that organism is referred,B,pest,C,parasite,100%,"A parasite is an organism that lives on or in a host organism and gets its food from or at the expense of its host, causing it harm.",yes
semantic,questions,AGR-2019-014,Agricultural Science,Animal Nutrition,"The material which after ingestion by the animal is capable of being digested, absorbed and utilized",D,protein,C,feed,100%,"Feed refers to any substance consumed by animals that provides the necessary nutrients for maintenance, growth, and production.",yes
semantic,questions,AGR-2019-015,Agricultural Science,Genetics,The type of gene action where the interaction among alleles is at different loci of the same or diff,C,heterozygosity,B,epistasis,100%,Epistasis is a form of gene interaction where the expression of one gene is modified or masked by the expression of one or more other genes at different loci.,yes
semantic,questions,AGR-2019-021,Agricultural Science,Reproductive System,The seminal fluid rich in fructose and prostaglandins which contributes to the bulk of semen volume ,D,vas deferens,C,seminal vesicles,100%,"The seminal vesicles produce about 60-70% of the total semen volume, providing fructose for energy and prostaglandins for motility.",yes
semantic,questions,AGR-2019-023,Agricultural Science,Genetics,An alternative form of a gene that may occur at a given gene locus and is responsible for the contra,B,epistasis,A,alleles,100%,Alleles are different versions of a gene that occupy the same locus on homologous chromosomes and determine contrasting traits.,yes
semantic,questions,AGR-2019-025,Agricultural Science,Fishery Management,The first operation in establishing a fish pond is,D,Purchase of fingerlings,A,Clearing and stumping of site,100%,"Site selection and preparation, which includes clearing and stumping, is the foundational step in pond construction before any structural work or stocking can o",yes
semantic,questions,AGR-2019-028,Agricultural Science,Forestry,The scientific name for Teak is,A,Terminalia ivorensis,B,Tectona grandis,100%,Tectona grandis is the scientific name for the teak tree.,yes
semantic,questions,AGR-2019-031,Agricultural Science,Forestry,A process applied to a freshly harvested timber before further processing/treatment is called,B,dipping,C,seasoning,100%,Seasoning is the process of reducing the moisture content of freshly harvested timber to make it stable and suitable for use.,yes
semantic,questions,AGR-2019-032,Agricultural Science,Water Quality,Turbidity is a measure of,A,Sun rays in water,B,Suspended materials,100%,Turbidity is the cloudiness or haziness of a fluid caused by large numbers of individual particles (suspended materials) that are generally invisible to the nak,yes
semantic,questions,AGR-2019-036,Agricultural Science,Agricultural Extension,The following are the importance of agricultural extension except,A,acquisition of skills,D,decreasing agricultural output,100%,"Agricultural extension aims to improve farming practices, increase productivity, and enhance the livelihoods of farmers; therefore, decreasing agricultural outp",yes
semantic,questions,AGR-2019-039,Agricultural Science,Agricultural Economics,Total cost consists of ________ and ________.,B,budget; revenue,C,fixed; variable,100%,Total cost is the sum of fixed costs (costs that do not change with output) and variable costs (costs that change with output).,yes
semantic,questions,AGR-2019-041,Agricultural Science,Basic Economic Principles in Agriculture,"If a farmer can produce either 3 tons of groundnut or 8 tons of rice from 1 hectare of land, and he ",D,The hectare of land,C,8 tons of rice,100%,"Opportunity cost is the value of the next best alternative foregone. By choosing to produce 8 tons of rice, the farmer gives up the 3 tons of groundnut he could",
semantic,questions,AGR-2019-044,Agricultural Science,Agricultural Land Resources,"The rights of people to own, use and control land and its resources is called",A,apportionment,C,tenure,100%,"Land tenure refers to the legal regime in which land is owned by an individual, who is said to 'hold' the land.",yes
semantic,questions,AGR-2019-045,Agricultural Science,Agricultural Economics,What is the systematic recording of financial transactions?,D,Trial balancing,B,Bookkeeping,100%,Bookkeeping is the process of recording all financial transactions of a business in a systematic manner.,yes
semantic,questions,AGR-2020-017,Agricultural Science,Reproductive Physiology,The seminal fluid rich in electrolytes in the male reproductive system is primarily secreted by the,C,seminal vesicles,B,prostate gland,100%,"The prostate gland secretes a slightly alkaline, milky fluid containing electrolytes (such as citrate, calcium, and phosphate) and enzymes that contribute to th",yes
semantic,questions,AGR-2021-003,Agricultural Science,Soil Fertility and Plant Nutrition,All of the options below are examples of acid-tolerant crop plants EXCEPT,B,Oil palm and rubber,C,Rice and maize,100%,Rice and maize are generally sensitive to highly acidic soils compared to the other listed crops which are known for their tolerance to acidic soil conditions.,yes
semantic,questions,AGR-2021-007,Agricultural Science,Weed Science,Study the options carefully and identify the one that IS NOT an example of a weed that can be disper,B,Pennisetum purpureum,D,Boerhavia diffusa,100%,"Boerhavia diffusa is primarily dispersed by animals (epizoochory) because its fruits are sticky and attach to the fur or feathers of animals, whereas the others",yes
semantic,questions,AGR-2021-016,Agricultural Science,Animal Nutrition,Which of the following nutrients is required in the largest quantity to meet the metabolic needs of ,D,Protein,B,Water,100%,"Water is the most essential nutrient for all metabolic processes, including digestion, absorption, and temperature regulation, and is required in the largest qu",yes
semantic,questions,AGR-2024-032,Agricultural Science,Theory of Demand,Elasticity of demand where consumers react sharply to changes in prices is called,C,perfect,D,elastic,100%,"When consumers react sharply to price changes, the percentage change in quantity demanded is greater than the percentage change in price, which is defined as el",yes
semantic,questions,AGR-2025-006,Agricultural Science,Agricultural Engineering/Processing,A decorticator is useful in the processing of,B,cotton,D,groundnut,100%,"A decorticator is a machine used to remove the outer shell or husk from seeds or nuts, specifically groundnuts (peanuts), to obtain the kernels.",yes
semantic,questions,AGR-2025-022,Agricultural Science,Poultry Production,The part labelled III in the diagram of an egg is called,B,air space,C,yolk,100%,"In the standard anatomical diagram of a bird's egg, the central nutrient-rich portion labelled III typically represents the yolk.",
semantic,questions,AGR-2025-029,Agricultural Science,Land Preparation and Soil Management,"High fertility, good topography, good drainage and good soil texture and structure are characteristi",C,pastoral farming,D,crop production,100%,"These characteristics are ideal for crop production as they support optimal plant growth, root development, and water management.",yes
semantic,questions,AGR-2025-050,Agricultural Science,Theory of Demand,Demand is affected by the following EXCEPT,D,public interest in the community,A,price of the commodity,100%,"In economic theory, a change in the price of the commodity itself causes a movement along the demand curve (change in quantity demanded), whereas the other fact",yes
semantic,questions,BIO-2019-026,Biology,Biotechnology,A major challenge associated with the cultivation of Genetically Modified Crops (GMCs) is,C,Enabling law,A,Pest resistance,100%,The development of pest resistance (often referred to as 'super-pests') is a significant ecological challenge resulting from the continuous exposure of pests to,yes
semantic,questions,BIO-2020-013,Biology,Uncategorized,The by-product of the light-dependent reaction of photosynthesis is...,C,O₂,D,ATP,100%,Light-dependent reactions: water is split (photolysis) releasing O₂ as a BY-PRODUCT. ATP and NADPH are products used in dark reactions. O₂ is released to the at,
semantic,questions,BIO-2020-044,Biology,Uncategorized,Which of the following is NOT true of Bryophytes?,D,Xerophytic life cycle,C,Alternation of generations,100%,"Bryophytes (mosses, liverworts) require MOIST environments — they are NOT xerophytes. They DO: have rhizoids, produce spores, and show alternation of generation",
semantic,questions,BIO-2022-033,Biology,Microbiology,An example of an acellular microorganism is,D,virus,C,archaea,100%,"Viruses are considered acellular because they lack a cellular structure, organelles, and metabolic machinery, unlike bacteria, fungi, and archaea which are cell",
semantic,questions,BIO-2025-015,Biology,Microbiology,The following are food spoilage organisms EXCEPT,D,Virus,B,Bacteria,100%,"Molds, bacteria, and yeasts are primary biological agents of food spoilage. Viruses do not cause food spoilage (the breakdown of food quality); they are foodbor",
semantic,questions,BUS-2019-012,Business Studies,Sources of Finance,Financial instruments used for raising long-term finance by owners include:,D,Debenture stock,C,Retained profit,100%,"Retained profit is an internal source of long-term finance belonging to the owners of the business, whereas bonds, loans, and debentures are forms of debt finan",yes
semantic,questions,BUS-2019-028,Business Studies,Marketing,One of the following is a component of the marketing mix.,D,Structure,A,Promotion,100%,"The marketing mix consists of the 4Ps: Product, Price, Place, and Promotion.",yes
semantic,questions,BUS-2019-031,Business Studies,Business Management,Which of the following defines the role that an organization plays in the society?,B,Validity,A,Mission statement,100%,A mission statement defines the fundamental purpose of an organization and its role within the society.,yes
semantic,questions,BUS-2020-040,Business Studies,Strategic Management,"Leadership development, cultural intelligence, and partnering with external contractors are examples",B,opportunities,A,strengths,100%,"These factors represent internal capabilities and strategic assets that provide an organization with a competitive advantage, which are classified as strengths ",yes
semantic,questions,BUS-2021-034,Business Studies,Business Management,The decision-making process begins with,A,clarification of the situation.,C,identification of a challenge.,100%,The first step in the decision-making process is the identification of a problem or challenge that requires a decision to be made.,yes
semantic,questions,BUS-2021-036,Business Studies,Strategic Management,One of the benefits of strategic management is,B,defining the goal of the business,D,having competitive advantage,100%,Strategic management allows an organization to gain a competitive advantage by analyzing its internal and external environments to outperform rivals.,yes
semantic,questions,CHM-2019-012,Chemistry,Periodic Table and Periodicity,Which element exhibits diagonal relationship with aluminium?,B,Silicon,A,Beryllium,100%,"Aluminium exhibits a diagonal relationship with beryllium, but in the context of standard periodic table trends, it is most commonly associated with beryllium (",yes
semantic,questions,CHM-2019-024,Chemistry,Electrolysis,"In the electrolysis of brine using a mercury cathode, the components produced are ___, ___ and ___ r",A,"H₂, Cl₂ and NaOH",B,"Na, O₂ and NaCl",100%,"In the mercury cell process for the electrolysis of brine (NaCl), chlorine gas is produced at the anode, sodium dissolves in the mercury to form sodium amalgam,",
semantic,questions,CHM-2019-044,Chemistry,Periodic Table and Periodicity,Which of the following elements exhibits a diagonal relationship with aluminum?,C,Carbon,A,Beryllium,100%,"Aluminum (Group 13, Period 3) exhibits a diagonal relationship with Beryllium (Group 2, Period 2) due to similar charge-to-size ratios. However, in the context ",yes
semantic,questions,CHM-2019-059,Chemistry,Chemical Bonding,The shape and bond angle of the sp hybridized orbital are,B,trigonal planar & 120°,D,linear & 180°,100%,"sp hybridization involves one s and one p orbital, resulting in a linear geometry with a bond angle of 180°.",yes
semantic,questions,CHM-2019-061,Chemistry,Organic Chemistry,Which of the following groups of compounds forms a silver mirror when reacted with Tollens' reagent ,A,Alkanols,B,Alkanals,100%,"Alkanals (aldehydes) are reducing agents that reduce Tollens' reagent to metallic silver, forming a silver mirror, whereas alkanones (ketones) do not react unde",yes
semantic,questions,CHM-2020-030,Chemistry,Organic Chemistry,Name the following organic compound: CH3CH2CH(NH2)CH2CH3,C,2-ethylbutanamine,A,Pentan-3-amine,100%,"The longest carbon chain containing the amine group has 5 carbons (pentane). The amino group (-NH2) is attached to the third carbon. Therefore, the IUPAC name i",yes
semantic,questions,CHM-2021-021,Chemistry,Chemical Bonding,A solid which contains more than one type of bonding is,D,Calcium oxide,A,Ice,100%,Ice contains both covalent bonding (within the water molecule) and hydrogen bonding (between molecules).,yes
semantic,questions,CHM-2022-016,Chemistry,Acid-Base Equilibria,"What is the conjugate base in the reaction of bicarbonate ion, HCO₃⁻, with water: HCO₃⁻ + H₂O ⇌ H₂CO",A,CO₃²⁻,C,HCO₃⁻,100%,"The conjugate base of HCO₃⁻ is formed by the loss of a proton, resulting in CO₃²⁻.",
semantic,questions,CHM-2025-047,Chemistry,Organic Chemistry,Tautomeric product of propen-2-ol is,C,propanal,D,propanone,100%,Propen-2-ol (an enol) tautomerizes to form propanone (a ketone).,yes
semantic,questions,CRS-2019-002,CRS,Christian Religious Studies,The Hebrew Bible was originally written in Hebrew and,A,Greek,D,Aramaic,100%,"While the vast majority of the Hebrew Bible is in Hebrew, small portions (such as parts of Daniel and Ezra) were written in Aramaic.",yes
semantic,questions,CRS-2019-005,CRS,Introduction to the Old Testament,The Greek version of the Old Testament is called,D,Decalogue.,C,Septuagint.,100%,The Septuagint (LXX) is the ancient Greek translation of the Hebrew Bible.,yes
semantic,questions,CRS-2019-013,CRS,Jewish Scripture,What was the Jewish Law called before the coming of Jesus?,C,Ketubiim,B,Torah,100%,"The Torah refers to the Law of Moses, which served as the foundation of Jewish religious life before the coming of Jesus.",yes
semantic,questions,CRS-2019-017,CRS,Mission of the Seventy,"After the mission of the seventy, Jesus declared that He had given them",C,the gift of speaking in tongues,A,authority over all the power of the enemy,100%,"In Luke 10:19, Jesus tells the seventy that He has given them authority to trample on snakes and scorpions and to overcome all the power of the enemy.",yes
semantic,questions,CRS-2019-020,CRS,Christian Missions in Africa,The Sudan Interior Mission was founded by,C,Dr. W.R.S. Miller,A,Roland V. Bingham,100%,The Sudan Interior Mission (now SIM) was founded by Roland V. Bingham in 1893.,yes
semantic,questions,CRS-2019-023,CRS,Christianity in West Africa,Which missionary board arrived in Ghana around 1833?,B,The Roman Catholic Mission.,D,The Wesleyan Missionary Society.,100%,"The Wesleyan Missionary Society, led by Joseph Dunwell, arrived in Cape Coast, Ghana, in 1835, with preparatory work dating to 1833.",yes
semantic,questions,CRS-2019-026,CRS,Sociology of Religion,"In a religious perspective, which scholar opined that religion originated from the worship of ancest",D,Karl Marx,B,Herbert Spencer,100%,Herbert Spencer is the scholar associated with the theory that religion originated from ancestor worship (father-worship).,yes
semantic,questions,CRS-2019-028,CRS,Sociology of Religion,Who advanced the theory known as animism?,B,Auguste Comte,C,Edward B. Tylor,100%,Edward B. Tylor is the anthropologist famously associated with the theory of animism.,yes
semantic,questions,CRS-2019-029,CRS,Sociology of Religion,The function of religion is NOT concretely described by which of the following?,A,Social order,D,Women oppression,100%,"While religion can be criticized for patriarchal structures, 'women oppression' is not considered a positive function of religion in sociological studies.",yes
semantic,questions,CRS-2020-031,CRS,Christian Religious Studies,The father of Methodism in Ghana is,B,J.R. Dunwell.,A,Thomas Freeman.,100%,Thomas Birch Freeman is widely recognized as the pioneer and father of Methodism in Ghana.,yes
semantic,questions,CRS-2021-025,CRS,Christian Religious Studies,The most prominent ex-slave of Igbo extraction was,A,J.C. Taylor,C,James Lucas,100%,James Africanus Beale Horton (James Lucas) is widely recognized as a prominent intellectual of Igbo extraction among the returnees.,
semantic,questions,CRS-2021-029,CRS,Christian History,The first African to be ordained an Anglican priest was,B,Philip Quaque,A,Samuel Ajayi Crowther,100%,Samuel Ajayi Crowther was ordained as the first African Anglican priest in 1843.,
semantic,questions,CRS-2022-006,CRS,Christian Religious Studies,All of these are factors that led to the failure of the Portuguese in planting Christianity in West ,D,Outbreak of war,A,Lack of funds,100%,"The Portuguese mission failed primarily due to the slave trade, lack of native clergy, and tropical diseases, rather than a lack of funds.",yes
semantic,questions,CRS-2022-018,CRS,Old Testament History,Which of these was the youngest King of Judah?,B,Joash,A,Josiah,100%,"Josiah became king at the age of eight, making him one of the youngest kings to ascend the throne in Judah.",
semantic,questions,CRS-2022-019,CRS,Old Testament History,The King who permitted the Jews to return to Palestine is,C,Artaxerxes,A,Cyrus,100%,Cyrus the Great issued the decree allowing the Jewish exiles to return to Jerusalem in 538 B.C.,yes
semantic,questions,CRS-2024-011,CRS,Early Church History,The impediment to the spread of the Gospel in the Roman Empire was,C,heretical movements,B,Hebrew religion,100%,The exclusivity and legalistic nature of the Hebrew religion (Judaism) often acted as a barrier to the universal spread of the Gospel among Gentiles.,yes
semantic,questions,CRS-2024-019,CRS,Christian Religious Studies,An example of a myth associated with Eucharistic doctrine in Christendom is,B,The Wedding at Cana,D,The Last Supper,100%,The Last Supper is the foundational event for the Eucharistic doctrine in Christianity.,yes
semantic,questions,CRS-2024-025,CRS,Christian Religious Studies,An inspirational theory of the Bible which states that God guided the hands of scripture writers is:,B,Verbal Plenary,A,Content Theory,100%,Content Theory (or Limited Inspiration) suggests God guided the thoughts and content while allowing the writers to use their own words.,
semantic,questions,CRS-2024-032,CRS,Synoptic Gospels,Who suggested in 1796 that “Oral Tradition lay at the base of the Synoptic material”?,B,J. Gieseler,A,J. G. Von Herder,100%,Johann Gottfried von Herder proposed the oral tradition hypothesis in 1796.,yes
semantic,questions,CRS-2025-018,CRS,Christian Religious Studies,Which synoptic writer lays strong emphasis on the universality of the gospel?,C,Mark,B,Luke,100%,"Luke is known for emphasizing the universality of the gospel, including outcasts, Gentiles, and women.",yes
semantic,questions,CRS-2025-019,CRS,Christian Religious Studies,Which of the following is NOT a mainline church in Nigeria?,A,Roman Catholic,B,Christ Apostolic Church,100%,"The Christ Apostolic Church is classified as an African Instituted Church (Aladura), whereas the others are mainline denominations.",yes
semantic,questions,CRS-2025-020,CRS,Christian Religious Studies,Garrick Sokari Braide’s followers established,B,Full Life Christian Centre,A,Christ Army Church of Nigeria,100%,Garrick Sokari Braide founded the Christ Army Church of Nigeria in the Niger Delta region.,yes
semantic,questions,CRS-2025-021,CRS,Christian Religious Studies,The cradle of Christianity in Nigeria is associated with one of the following cities.,A,Obudu,D,Badagry,100%,"Badagry is historically recognized as the cradle of Christianity in Nigeria, where the first mission station was established.",yes
semantic,questions,CRS-2025-023,CRS,History of Christianity,One of the social problems created from the liberation of slaves in Britain was,B,childlessness,A,unemployment,100%,The abolition of the slave trade led to economic shifts that resulted in significant unemployment among those previously dependent on the trade.,yes
semantic,questions,CRS-2025-027,CRS,Biblical Studies,"In Matthew 5:38–45, Jesus talks about Moses’ maxim of “an eye for an eye.” Here, He (Jesus) primaril",C,apology,B,forgiveness,100%,"Jesus teaches his followers to turn the other cheek and love their enemies, which is a fundamental teaching on forgiveness and non-retaliation.",yes
semantic,questions,CRS-2025-028,CRS,Christianity and Society,"According to Christian belief, the most efficacious response to all societal ills is",A,advocacy,B,prayer,100%,"In Christian theology, prayer is considered the primary and most efficacious tool for addressing societal challenges.",yes
semantic,questions,CRS-2025-029,CRS,Sociology of Religion,Conflict Theory of religion is associated with,C,Sigmund Freud,D,Karl Marx,100%,"Karl Marx is the primary theorist associated with the Conflict Theory of religion, viewing it as an instrument of social control.",yes
semantic,questions,CRS-2025-032,CRS,Contemporary Social Issues,The following are contemporary issues in the Nigerian society EXCEPT,C,cyber fraud,A,burnout,100%,"While burnout is a personal health issue, the other options are widely recognized as major socio-political and moral contemporary issues in Nigeria.",yes
semantic,questions,CRS-2025-033,CRS,Dimensions of Religion,Which dimension of religion is associated with patterns of worship?,D,Experience,A,Ritual,100%,Ritual dimension refers to the formal practices and patterns of worship within a religion.,yes
semantic,questions,CRS-2025-035,CRS,Old Testament Introduction,The theory often associated with Mosaic authorship is,C,Biblical Inspiration,B,JEDP,100%,"The JEDP theory (Documentary Hypothesis) is the critical framework used to analyze the authorship of the Pentateuch, traditionally attributed to Moses.",yes
semantic,questions,CRS-2025-037,CRS,Exodus,What did God instruct Moses to put off in the burning bush experience?,B,Staff,C,Sandal,100%,"In Exodus 3:5, God instructed Moses to take off his sandals because he was standing on holy ground.",yes
semantic,questions,CRS-2025-042,CRS,Christianity in Nigeria,"In 1842, the Methodist mission sent Thomas Birch Freeman to Badagry and Abeokuta from",B,Sierra Leone,A,Gold Coast,100%,"Thomas Birch Freeman, a Methodist missionary, arrived in Nigeria from the Gold Coast (modern-day Ghana) to establish missions in Badagry and Abeokuta.",yes
semantic,questions,CRS-2025-045,CRS,Religious Conflict Resolution,Religious conflict resolution gatherings require less participation from,C,Security personnel,A,Medical workforces,100%,"While medical workforces are essential for humanitarian aid, they are not primary participants in the dialogue and mediation processes of religious conflict res",yes
semantic,questions,ECO-2020-006,Economics,Theory of Supply,"When an increase in the price of steel causes an increase in the production of cars, then supply is",B,Composite,A,Complementary,100%,"Joint or complementary supply occurs when the production of one good leads to the production of another, or when they are linked in the production process.",yes
semantic,questions,ECO-2022-008,Economics,Economic Development,Which of the following is NOT a major determinant of economic development in West African countries?,D,Mobility of factors.,B,Income per capita.,100%,"Income per capita is a measure of economic development, not a determinant or cause of it.",yes
semantic,questions,ECO-2022-018,Economics,Introduction to Economics,Normative economics forms opinions based on,B,personal values,A,facts,100%,"Normative economics deals with value judgments and what 'ought to be', rather than objective facts.",
semantic,questions,ECO-2022-032,Economics,Public Finance,Government budget deficit is best financed by the following EXCEPT,D,sale of national assets.,A,printing money.,100%,"Printing money is a common way to finance a deficit, but it is generally considered a last resort due to inflationary risks; however, in the context of standard",
semantic,questions,ECO-2022-038,Economics,Macroeconomics,A situation where a recession prolongs for more than two consecutive quarters is called a:,D,business cycle.,C,depression.,100%,A prolonged recession (typically lasting more than two quarters) is technically referred to as an economic depression or a severe contraction.,yes
semantic,questions,GEO-2019-005,Geography,Geology,A tidal wave of great magnitude caused by an earthquake originating under the sea floor is called a,C,storm wave,D,tsunami,100%,"A tsunami is a series of waves in a water body caused by the displacement of a large volume of water, typically due to an earthquake.",yes
semantic,questions,GEO-2019-006,Geography,Geomorphology,In which biome are the aeolian processes and landforms usually dominant?,B,Savannah,C,Desert,100%,"Aeolian processes are driven by wind, which is the primary geomorphic agent in arid environments like deserts.",yes
semantic,questions,GEO-2019-008,Geography,Igneous Intrusions,"Magma that solidifies along a bedding plane in a syncline, forming a saucer-shaped feature is called",D,laccolith,A,lopolith,100%,"A lopolith is a large igneous intrusion which is lenticular in shape with a depressed central region, often saucer-shaped.",yes
semantic,questions,GEO-2019-011,Geography,Glacial Landforms,Which of the following features occurs in a glaciated lowland region?,A,Arête,C,Esker,100%,"An esker is a long, winding ridge of stratified sand and gravel, which is a characteristic depositional landform of glaciated lowland regions.",yes
semantic,questions,GEO-2019-012,Geography,Glacial Landforms,A steep-sided bowl-shaped depression formed at the head of a glacial valley is called,D,Tarn,A,Corrie,100%,"A corrie (also known as a cirque) is a steep-sided, bowl-shaped hollow found at the head of a glacial valley.",yes
semantic,questions,GEO-2019-014,Geography,Settlement Geography,Rural houses are an index of the,B,racial elements,A,physical environment,100%,Rural house types and building materials are primarily determined by the available resources and climate of the physical environment.,yes
semantic,questions,GEO-2019-016,Geography,Industrial Geography,The theory of industrial location was put forward by,D,R. Johnston,A,Weber,100%,Alfred Weber developed the Least Cost Theory of industrial location in 1909.,yes
semantic,questions,GEO-2019-019,Geography,Human Geography,The dominant feature of interest to human geographers is,D,Acculturation,A,the cultural landscape,100%,The cultural landscape is the fundamental concept in human geography representing the imprint of human activity on the physical environment.,yes
semantic,questions,GEO-2019-022,Geography,Settlement Geography,One of the following is not likely to cause urbanization.,A,Accessibility.,D,Agricultural activities.,100%,"Agricultural activities are typically associated with rural settlements, whereas the other options are pull factors for urban migration.",yes
semantic,questions,GEO-2019-028,Geography,Map Reading,"On topographic maps, contour lines are usually drawn using which colour?",C,Grey,A,Brown,100%,Contour lines are standardly represented in brown on topographic maps to show relief.,yes
semantic,questions,GEO-2019-033,Geography,Map Interpretation,"The rise and fall of the land is shown on maps in the form of relief. On the topographical map, pres",B,Hachuring,D,Vertical exaggeration,100%,"Vertical exaggeration is a calculation used to enhance relief perception, not a method of representing relief itself.",yes
semantic,questions,GEO-2019-038,Geography,Regional Geography,The major challenge currently peculiar to the North East region of Nigeria is,A,Earthquakes.,C,Insurgency.,100%,The North East region of Nigeria has been significantly affected by the Boko Haram insurgency.,yes
semantic,questions,GEO-2020-001,Geography,Astronomy,Which planet has the largest number of known satellites?,A,Jupiter.,B,Saturn.,100%,Saturn currently holds the record for the highest number of confirmed moons in the solar system.,yes
semantic,questions,GEO-2020-019,Geography,Settlement Geography,It is inappropriate to classify settlements by one of the following:,C,Population density,B,Age,100%,"Settlements are typically classified by size, function, and shape/pattern. Age is not a standard primary criterion for settlement classification.",yes
semantic,questions,GEO-2020-020,Geography,Settlement Geography,Which of the following influences the growth of a settlement?,B,Climate,D,Mineral resources,100%,"Mineral resources often act as a primary catalyst for the establishment and rapid growth of settlements (e.g., mining towns).",yes
semantic,questions,GEO-2020-021,Geography,Settlement Geography,The best method to distinguish urban from rural areas is by its:,A,Population,C,Function,100%,Function (economic activity) is the most widely accepted criterion for distinguishing urban areas (secondary/tertiary) from rural areas (primary).,
semantic,questions,GEO-2020-023,Geography,Population Geography,Some countries in the fifth stage of the demographic transition model still have positive population,C,High fertility rate,B,Net migration gain,100%,"In stage 5, where natural increase is often negative, positive population growth is sustained by net migration gain (immigration).",yes
semantic,questions,GEO-2020-031,Geography,Landforms,A hill with a steep slope on one side and a gentle slope on the other side is called,A,a spur,C,a ridge,100%,A cuesta is a ridge with a gentle slope on one side and a steep slope on the other.,
semantic,questions,GEO-2020-035,Geography,Map Reading,"The most suitable relief feature for the construction of a transport route, power line, or communica",A,pass,B,col,100%,"A col is a depression between two peaks, providing the most level path for infrastructure.",
semantic,questions,GEO-2020-038,Geography,Human Geography,Most countries in West Africa were colonized by the,A,Portuguese,D,French,100%,The French colonial empire held the largest number of territories in West Africa.,yes
semantic,questions,GEO-2020-042,Geography,Environmental Geography,Which of the following environmental hazards is predominantly due to human activities?,C,Earthquakes,B,Ozone layer depletion,100%,"Ozone layer depletion is primarily caused by human-made chemicals like chlorofluorocarbons (CFCs), whereas the others are natural phenomena.",yes
semantic,questions,GEO-2020-043,Geography,Economic Geography,Tourism is a leading industry in which of the following countries in West Africa?,B,Ghana,D,The Gambia,100%,"Tourism is a major pillar of the economy in The Gambia, contributing significantly to its GDP compared to the other listed countries.",yes
semantic,questions,GEO-2021-008,Geography,Map Reading,"On a cardinal points diagram, which of the following is equivalent to 247.5°?",C,SSW,D,WSW,100%,"247.5° falls within the WSW (West-South-West) quadrant, which spans from 236.25° to 258.75°.",yes
